name;time
getServerPrefix;349861
on_message_global;129429
getServerPrefix;431858
on_message_global;122646
on_message_global;127194
getServerPrefix;371186
on_message_global;127197
getServerPrefix;371771
on_message_global;126474
getServerPrefix;365365
on_message_global;123449
getServerPrefix;214224
on_message_global;121838
getServerPrefix;350183
on_message_global;122133
getServerPrefix;380346
on_message_global;125894
on_message_global;119894
on_message_global;126402
getServerPrefix;369139
on_message_global;127153
getServerPrefix;407950
on_message_global;126016
getServerPrefix;398741
on_message_global;121401
getServerPrefix;380456
on_message_global;121173
getServerPrefix;649771
on_message_global;129187
on_message_global;130930
getServerPrefix;382706
on_message_global;123910
getServerPrefix;373927
on_message_global;131408
on_message_global;128560
getServerPrefix;353307
on_message_global;128463
cog_check;121099
checkCooldownCache;0
on_message_global;125630
getServerPrefix;390149
on_message_global;119523
getServerPrefix;382332
on_message_global;126371
getServerPrefix;373515
on_message_global;124286
on_message_global;123652
getServerPrefix;373194
on_message_global;123712
getServerPrefix;385097
on_message_global;123856
getServerPrefix;397499
on_message_global;125032
on_message_global;120344
on_message_global;22943
on_message_global;121211
getServerPrefix;654436
on_message_global;124084
getServerPrefix;403836
on_message_global;130835
getServerPrefix;392176
on_message_global;125758
on_message_global;119644
getServerPrefix;725440
on_message_global;165078
getServerPrefix;645752
on_message_global;128849
getServerPrefix;378575
on_message_global;115209
getServerPrefix;390421
on_message_global;118064
getServerPrefix;362385
on_message_global;118027
on_message_global;131516
getServerPrefix;382263
on_message_global;122179
on_message_global;122607
on_message_global;125545
getServerPrefix;339921
on_message_global;166621
getServerPrefix;388276
on_message_global;117035
getServerPrefix;662350
on_message_global;123083
getServerPrefix;354284
on_message_global;126405
on_message_global;122785
getServerPrefix;379130
on_message_global;124702
getServerPrefix;20094
on_message_global;122180
getServerPrefix;353730
on_message_global;163300
on_message_global;127879
on_message_global;168155
on_message_global;124862
getServerPrefix;368634
on_message_global;164221
getServerPrefix;364284
on_message_global;141021
getServerPrefix;373764
on_message_global;133440
on_message_global;125309
getServerPrefix;383291
on_message_global;165048
on_message_global;130594
on_message_global;120379
on_message_global;135804
getServerPrefix;682604
on_message_global;166152
on_message_global;123113
getServerPrefix;366921
on_message_global;119409
getServerPrefix;749470
on_message_global;123712
getServerPrefix;375414
on_message_global;125376
on_message_global;125222
on_message_global;118949
on_message_global;165153
on_message_global;120504
getServerPrefix;365515
on_message_global;124567
getServerPrefix;403976
on_message_global;123803
getServerPrefix;659397
on_message_global;129930
getServerPrefix;351831
on_message_global;127945
on_message_global;118779
getServerPrefix;378803
getServerPrefix;567496
getServerPrefix;377494
on_message_global;166317
getServerPrefix;731691
on_message_global;127484
getServerPrefix;368910
on_message_global;121789
getServerPrefix;701712
on_message_global;126094
getServerPrefix;349121
on_message_global;167998
getServerPrefix;671645
on_message_global;122464
on_message_global;120289
on_message_global;128970
on_message_global;123539
on_message_global;123581
getServerPrefix;351671
on_message_global;166017
on_message_global;118099
on_message_global;135861
on_message_global;491528
getRank;134437
on_button_click;719057
createQuestion;192389
createQuestion;170073
on_button_click;117926
on_button_click;430933
on_button_click;517473
on_message_global;218483
on_button_click;886120
createQuestion;174540
on_ready;401457
on_button_click;884471
getServerPrefix;761611
on_message_global;128020
getServerPrefix;349596
on_message_global;129292
getServerPrefix;367407
on_message_global;125783
getServerPrefix;375364
on_message_global;127214
getServerPrefix;348404
on_message_global;132395
getServerPrefix;397690
on_message_global;135775
on_message_global;132332
on_message_global;134891
